"Nombre del solicitante","Rut del solicitante","Correo","Título de la necesidad","Descripción de la necesidad","Categoría","Tipo de entidad","Comuna","Palabras Clave","Objetivos de Desarrollo Sostenible","Imagen"
"Matias Villagra","758083489-6","matiasvillagra@correo.com","Viaje y Atendiendo Requerimientos Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Sin Fines de Lucro","Pucón","Equilibrio*Exploración*Sonrisa","AGUA Y SANEAMIENTO*VIDA SUBMARINA*ACCIÓN POR EL CLIMA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis González","811589581-7","luisgonzález@correo.com","Viaje y Apoyo para Necesidades Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Regional","Collipulli","Reflexión*Colaboración*Tiempo","INDUSTRIA*VIDA DE ECOSISTEMAS TERRESTRES*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","909214229-1","analópez@correo.com","Libertad y Satisfacción de Carencias Inaplazables","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Comercial","Los Sauces","Gratitud*Amistad*Conexión","CIUDADES Y COMUNIDADES SOSTENIBLES*ACCIÓN POR EL CLIMA*VIDA DE ECOSISTEMAS TERRESTRES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Martínez","712904999-8","diegomartínez@correo.com","Cultura y Resolviendo Problemáticas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Medio Ambiente","Sin Fines de Lucro","Victoria","Riqueza*Humildad*Liderazgo","ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*PRODUCCIÓN Y CONSUMO RESPONSABLES*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Martínez","105587940-0","diegomartínez@correo.com","Armonía en Satisfacción de Demandas Apremiantes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Local","Melipeuco","Comunidad*Libertad*Integridad","IGUALDAD DE GÉNERO*INDUSTRIA*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","713826867-1","michaelroudergue@correo.com","Cultura y Resolviendo Problemáticas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Transnacional","Carahue","Perdón*Libertad*Comunidad","PAZ*VIDA DE ECOSISTEMAS TERRESTRES*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Hernández","913812711-1","diegohernández@correo.com","Libertad en Abordando Necesidades Esenciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Mixta","Gorbea","Sonrisa*Curiosidad*Familia","INDUSTRIA*ALIANZAS PARA LOGRAR LOS OBJETIVOS*ENERGÍA ASEQUIBLE Y NO CONTAMINANTE","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","336440131-7","analópez@correo.com","Trabajo en la Satisfacción de Requerimientos Esenciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Responsabilidad Limitada","Melipeuco","Empoderamiento*Amistad*Éxito","ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*VIDA DE ECOSISTEMAS TERRESTRES*PAZ","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Andrés Martínez","537422609-4","andrésmartínez@correo.com","Exploración en Apoyo en Situaciones Críticas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Transnacional","Pucón","Conexión*Admiración*Autocontrol","EDUCACIÓN DE CALIDAD*AGUA Y SANEAMIENTO*PAZ","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Diego Martínez","378003258-6","diegomartínez@correo.com","Armonía en Abordando Necesidades Esenciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Agricultura","Religiosa","Traiguén","Altruismo*Bendición*Perdón","ACCIÓN POR EL CLIMA*AGUA Y SANEAMIENTO*PRODUCCIÓN Y CONSUMO RESPONSABLES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Jorge González","971014242-0","jorgegonzález@correo.com","Viaje en Ayuda en Casos Fundamentales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Mixta","Renaico","Optimismo*Autoexploración*Alegría","ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*AGUA Y SANEAMIENTO*HAMBRE CERO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Andrés Martínez","617574119-4","andrésmartínez@correo.com","Trabajo en Abordando Necesidades Esenciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Pública","Angol","Comunicación*Efecto*Serenidad","CIUDADES Y COMUNIDADES SOSTENIBLES*FIN DE LA POBREZA*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Jorge González","826468473-8","jorgegonzález@correo.com","Cultura en Situaciones de Ayuda","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Artesanal","Renaico","Ecología*Comunicación*Innovación","EDUCACIÓN DE CALIDAD*IGUALDAD DE GÉNERO*INDUSTRIA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Jorge González","606073354-7","jorgegonzález@correo.com","Cambio climático en Situaciones Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Artesanal","Carahue","Resiliencia*Autoamor*Salud","FIN DE LA POBREZA*HAMBRE CERO*VIDA SUBMARINA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis González","830240392-0","luisgonzález@correo.com","Cultura y Resolviendo Problemáticas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Transnacional","Lautaro","Respeto*Comunicación*Humildad","EDUCACIÓN DE CALIDAD*CIUDADES Y COMUNIDADES SOSTENIBLES*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","709429612-9","analópez@correo.com","Viaje en Brindando Respuestas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Cooperativa","Gorbea","Salud*Esperanza*Perdón","AGUA Y SANEAMIENTO*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis Mena","920144293-9","luismena@correo.com","Reflejo de la Tecnología en Apoyo en Situaciones Críticas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Sociedad Anónima","Collipulli","Superación*Aprecio*Desarrollo","IGUALDAD DE GÉNERO*PRODUCCIÓN Y CONSUMO RESPONSABLES*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Juan Pérez","619136399-3","juanpérez@correo.com","Reflejo de la Innovación en Resolviendo Problemáticas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Agricultura","Colectiva","Renaico","Pasión*Valores*Sinceridad","ACCIÓN POR EL CLIMA*CIUDADES Y COMUNIDADES SOSTENIBLES*EDUCACIÓN DE CALIDAD","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","821582580-7","michaelroudergue@correo.com","Cultura en Apoyo en Situaciones Críticas","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Nacional","Nueva Imperial","Perseverancia*Superación*Cultura","EDUCACIÓN DE CALIDAD*PAZ*REDUCCIÓN DE LAS DESIGUALDADES","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Luis González","754681492-4","luisgonzález@correo.com","Reflejo de la Naturaleza en Cobriendo Carencias Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Comercial","Temuco","Autocontrol*Aprendizaje*Autoestima","PAZ*TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Jorge González","297244878-9","jorgegonzález@correo.com","Exploración y Proporcionando Soluciones para Necesidades Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Igualdad","Regional","Galvarino","Esperanza*Imaginación*Reflexión","ENERGÍA ASEQUIBLE Y NO CONTAMINANTE*VIDA SUBMARINA*PAZ","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Ana López","923494041-6","analópez@correo.com","Cambio climático y Satisfaciendo Requisitos Cotidianos","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Tecnología","Sociedad Anónima","Saavedra","Esperanza*Naturaleza*Responsabilidad","TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO*PRODUCCIÓN Y CONSUMO RESPONSABLES*FIN DE LA POBREZA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Andrés Martínez","38115562-0","andrésmartínez@correo.com","Cultura y Resolviendo Problemáticas Urgentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Religiosa","Traiguén","Serenidad*Esperanza*Amor","IGUALDAD DE GÉNERO*SALUD Y BIENESTAR*PAZ","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Gabriel Gutierrez","118862261-5","gabrielgutierrez@correo.com","Reflejo de la Innovación en afrontando Requerimientos Emergentes","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Educativa","Pucón","Colaboración*Servicio*Motivación","IGUALDAD DE GÉNERO*CIUDADES Y COMUNIDADES SOSTENIBLES*INDUSTRIA","https://sivi.ufro.cl/img/home/bloque_fc.png"
"María García","757428137-3","maríagarcía@correo.com","Libertad y Atendiendo Requerimientos Vitales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Educación","Sanitaria","Vilcún","Integridad*Serenidad*Propósito","VIDA DE ECOSISTEMAS TERRESTRES*PRODUCCIÓN Y CONSUMO RESPONSABLES*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Sofía Rodríguez","839776663-2","sofíarodríguez@correo.com","Cultura y Abordando Necesidades Esenciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Cultura","Local","Loncoche","Voluntariado*Esperanza*Optimismo","VIDA SUBMARINA*VIDA DE ECOSISTEMAS TERRESTRES*PAZ","https://sivi.ufro.cl/img/home/bloque_fc.png"
"Michael Roudergue","865966155-3","michaelroudergue@correo.com","Cambio climático y Enfrentando Obstáculos Cruciales","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duis interdum massa ut ullamcorper euismod. Nunc sed justo et nunc cursus venenatis. Pellentesque accumsan lacus ac purus vestibulum dapibus. Morbi at interdum nisi. Duis finibus pretium augue, in gravida dui ullamcorper vel. Maecenas consectetur ultrices lorem vel placerat. Vestibulum posuere eget magna et pretium. Maecenas tincidunt tortor ut interdum feugiat.","Salud","Privada","Los Sauces","Belleza*Bendición*Humildad","VIDA SUBMARINA*ACCIÓN POR EL CLIMA*ALIANZAS PARA LOGRAR LOS OBJETIVOS","https://sivi.ufro.cl/img/home/bloque_fc.png"
